benchmark,category,variant,size,time_1
diveq,mathfu,numpy,EXTRALARGE,0.112163840327412
diveq,mathfu,polly,EXTRALARGE,0.0499745
diveq,mathfu,polly-parallel,EXTRALARGE,0.049501
diveq,mathfu,polly-parallel-vectorizer,EXTRALARGE,0.0500015
diveq,mathfu,polly-vectorizer,EXTRALARGE,0.0493465
diveq,mathfu,torch,EXTRALARGE,0.121917093521915
diveq,mathfu,torch_compiled,EXTRALARGE,0.036903013009578
diveq,mathfu,torch_gpu,EXTRALARGE,2.71151075139642e-05
diveq,mathfu,torch_gpu_onlykernel,EXTRALARGE,1.33200082927942e-05
diveq_sca,mathfu,clang,EXTRALARGE,0.046619
diveq_sca,mathfu,gcc,EXTRALARGE,0.046867
diveq_sca,mathfu,jax,EXTRALARGE,0.115723771508783
diveq_sca,mathfu,jax_gpu,EXTRALARGE,0.0378352369880304
diveq_sca,mathfu,jax_gpu_onlykernel,EXTRALARGE,6.4229010604322e-05
diveq_sca,mathfu,numba,EXTRALARGE,0.0337195891188458
diveq_sca,mathfu,numpy,EXTRALARGE,0.104752926970832
diveq_sca,mathfu,polly,EXTRALARGE,0.0467105
diveq_sca,mathfu,polly-parallel,EXTRALARGE,0.0465775
diveq_sca,mathfu,polly-parallel-vectorizer,EXTRALARGE,0.045646
diveq_sca,mathfu,polly-vectorizer,EXTRALARGE,0.046416
diveq_sca,mathfu,torch,EXTRALARGE,0.113886129460298
diveq_sca,mathfu,torch_compiled,EXTRALARGE,0.02343171951361
diveq_sca,mathfu,torch_gpu,EXTRALARGE,3.92545480281115e-05
diveq_sca,mathfu,torch_gpu_onlykernel,EXTRALARGE,2.83845001831651e-05
doitgen,polybench/linear-algebra/kernels,clang,EXTRALARGE,2.04634
doitgen,polybench/linear-algebra/kernels,gcc,EXTRALARGE,1.1412175
doitgen,polybench/linear-algebra/kernels,jax,EXTRALARGE,0.0297482263995335
doitgen,polybench/linear-algebra/kernels,jax_gpu,EXTRALARGE,0.00544780702330172
doitgen,polybench/linear-algebra/kernels,jax_gpu_onlykernel,EXTRALARGE,3.6654993891716e-05
doitgen,polybench/linear-algebra/kernels,numba,EXTRALARGE,2.06204691459425
doitgen,polybench/linear-algebra/kernels,numpy,EXTRALARGE,0.0362239454407245
doitgen,polybench/linear-algebra/kernels,polly,EXTRALARGE,2.0554905
doitgen,polybench/linear-algebra/kernels,polly-parallel,EXTRALARGE,2.043056
doitgen,polybench/linear-algebra/kernels,polly-parallel-vectorizer,EXTRALARGE,2.0201725
doitgen,polybench/linear-algebra/kernels,polly-vectorizer,EXTRALARGE,2.0410165
doitgen,polybench/linear-algebra/kernels,torch,EXTRALARGE,0.0385840545641258
doitgen,polybench/linear-algebra/kernels,torch_compiled,EXTRALARGE,0.0388061554403976
doitgen,polybench/linear-algebra/kernels,torch_gpu_onlykernel,EXTRALARGE,1.35349109768867e-05
dot,blas,clang,EXTRALARGE,0.05925
dot,blas,gcc,EXTRALARGE,0.0590345
dot,blas,jax,EXTRALARGE,0.0899129185127094
dot,blas,jax_gpu,EXTRALARGE,0.0494815864367411
dot,blas,jax_gpu_onlykernel,EXTRALARGE,3.8039986975491e-05
dot,blas,numba,EXTRALARGE,0.0803410620428622
dot,blas,numpy,EXTRALARGE,0.02377815451473
dot,blas,polly,EXTRALARGE,0.0584235
dot,blas,polly-parallel,EXTRALARGE,0.0592495
dot,blas,polly-parallel-vectorizer,EXTRALARGE,0.058429
dot,blas,polly-vectorizer,EXTRALARGE,0.0592555
dot,blas,torch,EXTRALARGE,0.0239095225697383
dot,blas,torch_compiled,EXTRALARGE,0.0243315360276029
dot,blas,torch_gpu,EXTRALARGE,1.81649811565876e-05
dot,blas,torch_gpu_onlykernel,EXTRALARGE,1.06650404632092e-05
fir_small,utdsp,clang,EXTRALARGE,0.05926
fir_small,utdsp,gcc,EXTRALARGE,0.05891
fir_small,utdsp,jax,EXTRALARGE,0.0756140135927126
fir_small,utdsp,jax_gpu,EXTRALARGE,0.0545915858820081
fir_small,utdsp,jax_gpu_onlykernel,EXTRALARGE,5.36551233381033e-05
fir_small,utdsp,numba,EXTRALARGE,0.0593198369024321
fir_small,utdsp,numpy,EXTRALARGE,0.023807963472791
fir_small,utdsp,polly,EXTRALARGE,0.059279
fir_small,utdsp,polly-parallel,EXTRALARGE,0.0586685
fir_small,utdsp,polly-parallel-vectorizer,EXTRALARGE,0.058275
fir_small,utdsp,polly-vectorizer,EXTRALARGE,0.0593395
fir_small,utdsp,torch,EXTRALARGE,0.0238390690647066
fir_small,utdsp,torch_compiled,EXTRALARGE,0.0242452694801614
fir_small,utdsp,torch_gpu_onlykernel,EXTRALARGE,1.23538775369525e-05
fourth_in_place,simpl_array,clang,EXTRALARGE,0.0273265
fourth_in_place,simpl_array,gcc,EXTRALARGE,0.027022
fourth_in_place,simpl_array,jax,EXTRALARGE,0.118542858399451
fourth_in_place,simpl_array,jax_gpu,EXTRALARGE,0.0383362090215087
fourth_in_place,simpl_array,jax_gpu_onlykernel,EXTRALARGE,3.55938682332635e-05
fourth_in_place,simpl_array,numba,EXTRALARGE,0.0290677450830117
fourth_in_place,simpl_array,numpy,EXTRALARGE,0.852322070510127
fourth_in_place,simpl_array,polly,EXTRALARGE,0.0271975
fourth_in_place,simpl_array,polly-parallel,EXTRALARGE,0.0274005
fourth_in_place,simpl_array,polly-parallel-vectorizer,EXTRALARGE,0.0271715
fourth_in_place,simpl_array,polly-vectorizer,EXTRALARGE,0.027227
fourth_in_place,simpl_array,torch,EXTRALARGE,0.133009208017029
fourth_in_place,simpl_array,torch_compiled,EXTRALARGE,0.0233036344870925
fourth_in_place,simpl_array,torch_gpu_onlykernel,EXTRALARGE,0.000122714089229703
gemm,polybench/linear-algebra/blas,clang,EXTRALARGE,3.725341
gemm,polybench/linear-algebra/blas,gcc,EXTRALARGE,3.2049825
gemm,polybench/linear-algebra/blas,jax,EXTRALARGE,0.0524545083753765
gemm,polybench/linear-algebra/blas,jax_gpu,EXTRALARGE,0.00438414409290999
gemm,polybench/linear-algebra/blas,jax_gpu_onlykernel,EXTRALARGE,9.78040043264627e-05
gemm,polybench/linear-algebra/blas,numba,EXTRALARGE,10.1437942378689
gemm,polybench/linear-algebra/blas,numpy,EXTRALARGE,0.0431900010444224
gemm,polybench/linear-algebra/blas,polly,EXTRALARGE,1.079479
gemm,polybench/linear-algebra/blas,polly-parallel,EXTRALARGE,1.0737855
gemm,polybench/linear-algebra/blas,polly-parallel-vectorizer,EXTRALARGE,1.075257
gemm,polybench/linear-algebra/blas,polly-vectorizer,EXTRALARGE,1.0910195
gemm,polybench/linear-algebra/blas,torch,EXTRALARGE,0.0652860155096278
gemm,polybench/linear-algebra/blas,torch_compiled,EXTRALARGE,0.0569816471543163
gemm,polybench/linear-algebra/blas,torch_gpu_onlykernel,EXTRALARGE,4.76698623970151e-05
gemm_nn,darknet,clang,EXTRALARGE,4.581071
gemm_nn,darknet,gcc,EXTRALARGE,3.6776435
gemm_nn,darknet,jax,EXTRALARGE,0.0723237405763939
gemm_nn,darknet,jax_gpu,EXTRALARGE,0.00467601337004453
gemm_nn,darknet,jax_gpu_onlykernel,EXTRALARGE,5.2839401178062e-05
gemm_nn,darknet,numba,EXTRALARGE,2.87570655043237
gemm_nn,darknet,numpy,EXTRALARGE,0.0599100940162316
gemm_nn,darknet,polly,EXTRALARGE,1.2251565
gemm_nn,darknet,polly-parallel,EXTRALARGE,1.2253855
gemm_nn,darknet,polly-parallel-vectorizer,EXTRALARGE,1.2246455
gemm_nn,darknet,polly-vectorizer,EXTRALARGE,1.225401
gemm_nn,darknet,torch,EXTRALARGE,0.0650856561260298
gemm_nn,darknet,torch_compiled,EXTRALARGE,0.0610811895458028
gemm_nn,darknet,torch_gpu,EXTRALARGE,3.71246132999659e-05
gemm_nn,darknet,torch_gpu_onlykernel,EXTRALARGE,4.71391249448061e-05
gemm_nt,darknet,clang,EXTRALARGE,8.6112255
gemm_nt,darknet,gcc,EXTRALARGE,8.5121335
gemm_nt,darknet,jax,EXTRALARGE,0.0626489544520155
gemm_nt,darknet,jax_gpu,EXTRALARGE,0.00466823345050216
gemm_nt,darknet,jax_gpu_onlykernel,EXTRALARGE,5.96796162426472e-05
gemm_nt,darknet,numba,EXTRALARGE,8.11438289203215
gemm_nt,darknet,numpy,EXTRALARGE,0.0552496433956549
gemm_nt,darknet,polly,EXTRALARGE,8.6190025
gemm_nt,darknet,polly-parallel,EXTRALARGE,8.630241
gemm_nt,darknet,polly-parallel-vectorizer,EXTRALARGE,8.633798
gemm_nt,darknet,polly-vectorizer,EXTRALARGE,8.614276
gemm_nt,darknet,torch,EXTRALARGE,0.065535148489289
gemm_nt,darknet,torch_compiled,EXTRALARGE,0.0534173105843365
gemm_nt,darknet,torch_gpu,EXTRALARGE,5.83399087190628e-05
gemm_nt,darknet,torch_gpu_onlykernel,EXTRALARGE,8.41243891045451e-05
gemm_tn,darknet,clang,EXTRALARGE,3.1716615
gemm_tn,darknet,gcc,EXTRALARGE,2.5461655
gemm_tn,darknet,jax,EXTRALARGE,0.047930259606801
gemm_tn,darknet,jax_gpu,EXTRALARGE,0.0034891270333901
gemm_tn,darknet,jax_gpu_onlykernel,EXTRALARGE,8.00444977357984e-05
gemm_tn,darknet,numba,EXTRALARGE,2.26806732150726
gemm_tn,darknet,numpy,EXTRALARGE,0.048436627490446
gemm_tn,darknet,polly,EXTRALARGE,3.5498115
gemm_tn,darknet,polly-parallel,EXTRALARGE,0.397319
gemm_tn,darknet,polly-parallel-vectorizer,EXTRALARGE,0.2999765
gemm_tn,darknet,polly-vectorizer,EXTRALARGE,1.529584
gemm_tn,darknet,torch,EXTRALARGE,0.056555477087386
gemm_tn,darknet,torch_compiled,EXTRALARGE,0.0447716395137832
gemm_tn,darknet,torch_gpu,EXTRALARGE,0.000103594036772847
gemm_tn,darknet,torch_gpu_onlykernel,EXTRALARGE,8.67595663294196e-05
gemm_tt,darknet,clang,EXTRALARGE,8.2573425
gemm_tt,darknet,gcc,EXTRALARGE,6.324314
gemm_tt,darknet,jax,EXTRALARGE,0.0416370254242793
gemm_tt,darknet,jax_gpu,EXTRALARGE,0.00387751893140376
gemm_tt,darknet,jax_gpu_onlykernel,EXTRALARGE,4.85745258629322e-05
gemm_tt,darknet,numba,EXTRALARGE,7.34479902801104
gemm_tt,darknet,numpy,EXTRALARGE,0.0433197114616632
gemm_tt,darknet,polly,EXTRALARGE,8.263203
gemm_tt,darknet,polly-parallel,EXTRALARGE,8.395098
gemm_tt,darknet,polly-parallel-vectorizer,EXTRALARGE,8.422195
gemm_tt,darknet,polly-vectorizer,EXTRALARGE,8.448175
gemm_tt,darknet,torch,EXTRALARGE,0.0588096604915336
gemm_tt,darknet,torch_compiled,EXTRALARGE,0.0449744849465787
gemm_tt,darknet,torch_gpu,EXTRALARGE,6.34239986538887e-05
gemm_tt,darknet,torch_gpu_onlykernel,EXTRALARGE,5.10894460603595e-05
gemv,blas,clang,EXTRALARGE,0.002556
gemv,blas,gcc,EXTRALARGE,0.002378
gemv,blas,jax,EXTRALARGE,0.00060907646548003
gemv,blas,jax_gpu,EXTRALARGE,0.00108444690704346
gemv,blas,jax_gpu_onlykernel,EXTRALARGE,2.8374488465488e-05
gemv,blas,numba,EXTRALARGE,0.00348524807486683
gemv,blas,numpy,EXTRALARGE,9.2599424533546e-05
gemv,blas,polly,EXTRALARGE,0.001469
gemv,blas,polly-parallel,EXTRALARGE,0.0011165
gemv,blas,polly-parallel-vectorizer,EXTRALARGE,0.0011215
gemv,blas,polly-vectorizer,EXTRALARGE,0.00237
gemv,blas,torch,EXTRALARGE,0.000953169423155487
gemv,blas,torch_compiled,EXTRALARGE,0.000333828036673367
gemv,blas,torch_gpu,EXTRALARGE,4.35844995081425e-05
gemv,blas,torch_gpu_onlykernel,EXTRALARGE,3.42590501531959e-05
gemver,polybench/linear-algebra/blas,clang,EXTRALARGE,0.044457
gemver,polybench/linear-algebra/blas,gcc,EXTRALARGE,0.03632
gemver,polybench/linear-algebra/blas,jax,EXTRALARGE,0.0371425825869665
gemver,polybench/linear-algebra/blas,jax_gpu,EXTRALARGE,0.00586915342137218
gemver,polybench/linear-algebra/blas,jax_gpu_onlykernel,EXTRALARGE,8.03250586614013e-05
gemver,polybench/linear-algebra/blas,numba,EXTRALARGE,0.0478599696652964
gemver,polybench/linear-algebra/blas,numpy,EXTRALARGE,0.0719986509066075
gemver,polybench/linear-algebra/blas,polly,EXTRALARGE,0.028303
gemver,polybench/linear-algebra/blas,polly-parallel,EXTRALARGE,0.008368
gemver,polybench/linear-algebra/blas,polly-parallel-vectorizer,EXTRALARGE,0.008479
gemver,polybench/linear-algebra/blas,polly-vectorizer,EXTRALARGE,0.028547
gemver,polybench/linear-algebra/blas,torch,EXTRALARGE,0.106113508110866
gemver,polybench/linear-algebra/blas,torch_compiled,EXTRALARGE,0.0250346199609339
gemver,polybench/linear-algebra/blas,torch_gpu_onlykernel,EXTRALARGE,0.000102058984339237
ger,blas,clang,EXTRALARGE,0.001209
